"url","title","description","content","reviewCount","langTag"
"https://www.etsy.com/ie/listing/793535463/the-magic-tap-unisex-cotton-t-shirt","Etsy Ireland - Shop for handmade, vintage, custom, and unique gifts ...","Shop Etsy Ireland. Find handmade gifts, vintage &amp; on-trend clothes, unique jewellery, and more.","",401,"ie"
"https://www.etsy.com/ie/listing/657245555/funny-christmas-shirts-matching","Funny Christmas Shirts Matching Christmas T-shirts Pizza - Etsy","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",401,"ie"
"https://www.etsy.com/ie/listing/210492255/t-shirts-for-submissives-20","T-shirts for Submissives 20 - Etsy Ireland","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",402,"ie"
"https://www.etsy.com/ie/listing/449253582/steely-dad-steely-dan-dad-rock-parody-t","Steely Dad Steely Dan Dad Rock Parody T Shirt Small | Etsy","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",402,"ie"
"https://www.etsy.com/ie/listing/960358240/devil-nikaido-tee-dorohedoro","DEVIL NIKAIDO Tee DOROHEDORO - Etsy Ireland","This Gender-Neutral Adult <strong>T</strong>-<strong>shirts</strong> item by eelsandco has 414 favorites from Etsy shoppers. Ships from United States. Listed on 22 Jan, 2024","",402,"ie"
"https://www.etsy.com/ie/listing/657245555/funny-christmas-shirts-matching","Funny Christmas Shirts Matching Christmas T-shirts Pizza - Etsy","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",402,"ie"
"https://www.etsy.com/ie/listing/624746243/family-vacation-summer-vacation-shirts","This item is unavailable - Etsy","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",402,"ie"
"https://www.etsy.com/ie/listing/1045796312/onlyfans-turkey-fan-turkey-hunting-tee","Onlyfans Turkey Fan Turkey Hunting Tee - Etsy Ireland","This Gender-Neutral Adult Graphic Tees item by CookieandPearl has <strong>403</strong> favorites from Etsy shoppers. Ships from United States. Listed on 14 Apr, 2024","",403,"ie"
"https://www.etsy.com/ie/listing/210492255/t-shirts-for-submissives-20","T-shirts for Submissives 20 - Etsy Ireland","Find the perfect handmade gift, vintage &amp; on-trend clothes, unique jewellery, and more… lots more.","",403,"ie"
"https://www.etsy.com/ie/listing/654808127/funny-football-shirt-show-me-your-touch","Funny Football Shirt Show Me Your Touch Down Shirt - Etsy Ireland","This Gender-Neutral Adult Graphic Tees item by PopularTeez has 48 favorites from Etsy shoppers. Ships from United States. Listed on 29 Aug, 2022","",403,"ie"
"https://www.etsy.com/ie/listing/994002907/error-404-costume-not-found-t-shirt","Error 404 Costume Not Found T-shirt Funny Halloween Costume - Etsy Ireland","This Gender-Neutral Adult <strong>T</strong>-<strong>shirts</strong> item by PandaGiftsUK has 6 favorites from Etsy shoppers. Ships from United Kingdom. Listed on 24 Feb, 2023","",403,"ie"
"https://www.etsy.com/ie/listing/768598616/jesus-was-a-radical-socialist-t-shirt","Etsy Ireland - Shop for handmade, vintage, custom, and unique gifts ...","Shop Etsy Ireland. Find handmade gifts, vintage &amp; on-trend clothes, unique jewellery, and more.","",403,"ie"
